2025-09-03 09:11:24 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_090923", "duration": 121.334756, "total_targets": 3, "successful_forwards": 5, "failed_forwards": 0, "success_rate": 166.66666666666669, "errors_count": 0}
2025-09-03 09:13:25 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_091224", "duration": 61.000058, "total_targets": 3, "successful_forwards": 4, "failed_forwards": 0, "success_rate": 133.33333333333331, "errors_count": 0}
2025-09-03 09:14:25 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_091425", "duration": 0.113608, "total_targets": 5, "successful_forwards": 1, "failed_forwards": 0, "success_rate": 20.0, "errors_count": 0}
2025-09-03 09:17:26 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_091525", "duration": 121.268309, "total_targets": 3, "successful_forwards": 5, "failed_forwards": 0, "success_rate": 166.66666666666669, "errors_count": 0}
2025-09-03 09:18:27 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_091826", "duration": 0.704978, "total_targets": 3, "successful_forwards": 2, "failed_forwards": 0, "success_rate": 66.66666666666666, "errors_count": 0}
2025-09-03 09:19:28 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_091927", "duration": 0.385924, "total_targets": 5, "successful_forwards": 1, "failed_forwards": 0, "success_rate": 20.0, "errors_count": 0}
2025-09-03 09:41:50 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_094048", "duration": 62.059874, "total_targets": 3, "successful_forwards": 4, "failed_forwards": 0, "success_rate": 133.33333333333331, "errors_count": 0}
2025-09-03 09:42:57 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_094235", "duration": 22.310759, "total_targets": 3, "successful_forwards": 2, "failed_forwards": 0, "success_rate": 66.66666666666666, "errors_count": 0}
2025-09-03 09:45:11 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_094407", "duration": 63.97745, "total_targets": 3, "successful_forwards": 4, "failed_forwards": 0, "success_rate": 133.33333333333331, "errors_count": 0}
2025-09-03 09:46:42 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_094541", "duration": 61.533305, "total_targets": 3, "successful_forwards": 4, "failed_forwards": 0, "success_rate": 133.33333333333331, "errors_count": 0}
2025-09-03 09:48:04 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_094714", "duration": 50.054456, "total_targets": 3, "successful_forwards": 3, "failed_forwards": 0, "success_rate": 100.0, "errors_count": 0}
2025-09-03 12:29:36 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_122804", "duration": 91.93467, "total_targets": 4, "successful_forwards": 6, "failed_forwards": 0, "success_rate": 150.0, "errors_count": 0}
2025-09-03 12:37:24 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_123552", "duration": 92.516267, "total_targets": 4, "successful_forwards": 6, "failed_forwards": 0, "success_rate": 150.0, "errors_count": 0}
2025-09-03 12:50:04 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_124832", "duration": 92.029309, "total_targets": 4, "successful_forwards": 6, "failed_forwards": 0, "success_rate": 150.0, "errors_count": 0}
2025-09-03 12:51:37 | TelegramForwarder | INFO | log_info:470 | STATS | SESSION_SUMMARY | {"session_id": "enhanced_forward_20250903_125034", "duration": 63.084519, "total_targets": 3, "successful_forwards": 4, "failed_forwards": 0, "success_rate": 133.33333333333331, "errors_count": 0}
